codigo;Tipo;Serviços contratados;unid;quant;Preço de compra total;Preço de compra unitario;Outras Despesas;Custo unitario;SERV.TERC.
01.001.000001;SET;Sondagem a percussão com spt (diâmetro: 2 1/2 ");M;1,0;1;1;;1;;
01.002.000002;SET;Estaca pré-moldada concreto protendido cravada - seção circular maciça (carga admissível: 18 tf / adensamento: por vibração  / área da seção cheia: 177,00 cm² / bitola nominal: 15,00 cm / massa nominal;M;1,0;1;1;;1;;
01.002.000003;SET;Estaca pré-moldada concreto protendido cravada - seção circular maciça (adensamento: por vibração  / área da seção cheia: 227,00 cm² / bitola nominal: 17 cm / carga admissível: 25 tf / massa nominal: 5;M;1,0;1;1;;1;;
01.002.000004;SET;Estaca pré-moldada concreto protendido cravada - seção circular maciça (área da seção cheia: 314,00 cm² / bitola nominal: 20,00 cm / adensamento: por vibração  / carga admissível: 36 tf / massa nominal;M;1,0;1;1;;1;;
01.002.000005;SET;Estaca pré-moldada concreto armado cravada - seção octagonal vazada (área da seção: 1015 cm² / adensamento: vibração  / carga admissível: 138 tf / diâmetro da seção: 360 mm / massa linear: 197 kg/m / p;M;1,0;1;1;;1;;
01.002.000006;SET;Estaca pré-moldada concreto protendido cravada - seção circular maciça (adensamento: por vibração  / área da seção cheia: 415,00 cm² / bitola nominal: 23,00 cm / carga admissível: 50 tf / massa nominal;M;1,0;1;1;;1;;
01.002.000008;SET;Estaca pré-moldada concreto protendido cravada - seção circular vazada (área da seção cheia: 607,00 cm² / adensamento: por vibração  / bitola nominal: 33,00 cm / carga admissível: 75,00 tf / espessura ;M;1,0;1;1;;1;;
01.002.000009;SET;Estaca tipo strauss moldada "in loco" - mão-de-obra e equipamento (diâmetro da seção: 320 mm / capacidade de carga: 30 t);M;1,0;1;1;;1;;
01.002.000010;SET;Estaca tipo strauss moldada "in loco" - mão-de-obra e equipamento (diâmetro da seção: 380 mm / capacidade de carga: 40 t);M;1,0;1;1;;1;;
01.002.000011;SET;Estaca tipo strauss moldada "in loco" - mão-de-obra e equipamento (diâmetro da seção: 450 mm / capacidade de carga: 60 t);M;1,0;1;1;;1;;
01.002.000012;SET;Estaca pré-moldada concreto protendido cravada - seção quadrada (adensamento: vibração  / comprimento da seção: 170 mm / massa linear: 73 kg/m / perímetro: 68 cm / largura da seção: 170 mm / carga admi;M;1,0;1;1;;1;;
01.002.000013;SET;Estaca tipo  franki moldada "in loco" - mão-de-obra e equipamento (diâmetro da seção: 520 mm / capacidade de carga: 130 t);M;1,0;1;1;;1;;
01.002.000014;SET;Estaca tipo  franki moldada "in loco" - mão-de-obra e equipamento (diâmetro da seção: 400 mm / capacidade de carga: 75 t);M;1,0;1;1;;1;;
01.002.000015;SET;Estaca tipo  franki moldada "in loco" - mão-de-obra e equipamento (capacidade de carga: 55 t / diâmetro da seção: 350 mm);M;1,0;1;1;;1;;
01.002.000016;SET;Estaca pré-moldada concreto armado cravada - seção octagonal vazada (perímetro: 132 cm / adensamento: vibração  / área da seção: 1324 cm² / carga admissível: 158 tf / diâmetro da seção: 420 mm / massa ;M;1,0;1;1;;1;;
